"data";"close";"open";"high";"low"
"416";"2014-05-21";491,35;446,89;498,68;446
"417";"2014-05-22";494,99;490,62;501;489,5
"418";"2014-05-23";528,85;495;530;492,25
"419";"2014-05-24";523,57;528,85;544,78;521,11
"420";"2014-05-25";528;523,61;529,75;514,25
"421";"2014-05-26";573,99;528,92;586;528,92
"422";"2014-05-27";586;574,55;593,3;566,21
"423";"2014-05-28";576,08;586,69;597,3;551
"424";"2014-05-29";578,77;573,6;583,5;565
"425";"2014-05-30";569,5;580;583;563
"426";"2014-05-31";621;569,85;630;569,85
"427";"2014-06-01";626,21;620,9;629;610,02
"428";"2014-06-02";626,42;627,01;680;618,01
"429";"2014-06-03";667,11;631,97;679,8;615
"430";"2014-06-04";674;667,78;685;652,16
"431";"2014-06-05";642;670,84;672,97;620
"432";"2014-06-06";660,9;642;672;641
"433";"2014-06-07";649,39;660,99;664,94;646,8
"434";"2014-06-08";657,21;649,35;659,4;637,01
"435";"2014-06-09";658,7;657,21;664,5;652,5
"436";"2014-06-10";650,3;658,7;661,99;639,06
"437";"2014-06-11";657;650,3;672;646
"438";"2014-06-12";637,6;657;666,5;635,11
"439";"2014-06-13";597,99;637,6;647;575,2
"440";"2014-06-14";605;596,43;620,97;592,11
"441";"2014-06-15";570,27;605,2;606,98;522,15
"442";"2014-06-16";593,89;570,26;595,1;540
"443";"2014-06-17";591,1;593,61;612;582,1
"444";"2014-06-18";613,4;592,35;619;591,1
"445";"2014-06-19";608,1;613,4;619,6;601,5
"446";"2014-06-20";597,3;608,6;611,99;592,9
"447";"2014-06-21";592;596,06;598,28;582,37
"448";"2014-06-22";595,5;592;599,91;583,5
"449";"2014-06-23";603,4;596,9;615;595,5
"450";"2014-06-24";591,57;603,39;604,19;580,11
"451";"2014-06-25";580,56;591,02;597,79;580
"452";"2014-06-26";566,75;580,65;584,99;560,53
"453";"2014-06-27";581,98;566,75;584;562,9
"454";"2014-06-28";604;581,99;604,9;575,03
"455";"2014-06-29";596,1;604;607,21;593,89
"456";"2014-06-30";601,95;596,1;607;593,37
"457";"2014-07-01";640,79;601,95;647,99;598,4
"458";"2014-07-02";641,34;642,26;665;636,1
"459";"2014-07-03";654,61;641,35;662;640,14
"460";"2014-07-04";644;653,5;654;636,24
"461";"2014-07-05";632,11;644;648,66;629,3
"462";"2014-07-06";631,88;632,58;638,4;627,7
"463";"2014-07-07";637,38;631,59;644,69;630,38
"464";"2014-07-08";621,45;637,76;639,76;616,73
"465";"2014-07-09";625,36;620,31;629,85;617,51
"466";"2014-07-10";624,47;625,11;632,99;620,13
"467";"2014-07-11";615,84;623,24;626,55;608,43
"468";"2014-07-12";636;615,84;636,4;615,84
"469";"2014-07-13";636,31;636,2;642,79;630
"470";"2014-07-14";629,49;636,7;638,21;626,36
"471";"2014-07-15";619,17;629,6;630,25;616,8
"472";"2014-07-16";620,8;619,15;627,99;618,57
"473";"2014-07-17";616,48;620,11;622,5;611,21
"474";"2014-07-18";622,51;616,48;627,5;613
"475";"2014-07-19";630,8;622,52;633,6;616,96
"476";"2014-07-20";629,3;630,8;632,1;625,6
"477";"2014-07-21";624;626,77;628,23;620,36
